produto,eixo,orçamentário,ação,objetivo,prefeitura bairro,unidade,meta física,programa,extra
Unidade Habitacional Melhorada,DESENVOLVIMENTO URBANO E ECONÔMICO,232074000,Urbanização - Programas de Melhorias Habitacionais,"Prover soluções para a questão habitacional em Salvador, assegurando condições dignas de moradia aos soteropolitanos, posicionando, inclusive, o Centro Histórico como território atrativo para a moradia. Para alcançar esse objetivo, pretende-se ampliar a oferta de moradia para a população de baixa renda, promover melhorias habitacionais, principalmente nas regiões mais carentes, investir em ações de regularização fundiária, assegurando a cidadania, impulsionando a Habitação de Interesse Social - HIS.",Subúrbio/Ilhas,Unidade,10670,Habitação e Inclusão Social,800000
Unidade Habitacional Melhorada,DESENVOLVIMENTO URBANO E ECONÔMICO,232074000,Urbanização - Programas de Melhorias Habitacionais,"Prover soluções para a questão habitacional em Salvador, assegurando condições dignas de moradia aos soteropolitanos, posicionando, inclusive, o Centro Histórico como território atrativo para a moradia. Para alcançar esse objetivo, pretende-se ampliar a oferta de moradia para a população de baixa renda, promover melhorias habitacionais, principalmente nas regiões mais carentes, investir em ações de regularização fundiária, assegurando a cidadania, impulsionando a Habitação de Interesse Social - HIS.",Liberdade/São Caetano,Unidade,6668,Habitação e Inclusão Social,800000
Unidade Habitacional Melhorada,DESENVOLVIMENTO URBANO E ECONÔMICO,232074000,Urbanização - Programas de Melhorias Habitacionais,"Prover soluções para a questão habitacional em Salvador, assegurando condições dignas de moradia aos soteropolitanos, posicionando, inclusive, o Centro Histórico como território atrativo para a moradia. Para alcançar esse objetivo, pretende-se ampliar a oferta de moradia para a população de baixa renda, promover melhorias habitacionais, principalmente nas regiões mais carentes, investir em ações de regularização fundiária, assegurando a cidadania, impulsionando a Habitação de Interesse Social - HIS.",Centro/Brotas,Unidade,2444,Habitação e Inclusão Social,800000
Unidade Habitacional Melhorada,DESENVOLVIMENTO URBANO E ECONÔMICO,232074000,Urbanização - Programas de Melhorias Habitacionais,"Prover soluções para a questão habitacional em Salvador, assegurando condições dignas de moradia aos soteropolitanos, posicionando, inclusive, o Centro Histórico como território atrativo para a moradia. Para alcançar esse objetivo, pretende-se ampliar a oferta de moradia para a população de baixa renda, promover melhorias habitacionais, principalmente nas regiões mais carentes, investir em ações de regularização fundiária, assegurando a cidadania, impulsionando a Habitação de Interesse Social - HIS.",Cidade Baixa,Unidade,4000,Habitação e Inclusão Social,800000
Unidade Habitacional Melhorada,DESENVOLVIMENTO URBANO E ECONÔMICO,232074000,Urbanização - Programas de Melhorias Habitacionais,"Prover soluções para a questão habitacional em Salvador, assegurando condições dignas de moradia aos soteropolitanos, posicionando, inclusive, o Centro Histórico como território atrativo para a moradia. Para alcançar esse objetivo, pretende-se ampliar a oferta de moradia para a população de baixa renda, promover melhorias habitacionais, principalmente nas regiões mais carentes, investir em ações de regularização fundiária, assegurando a cidadania, impulsionando a Habitação de Interesse Social - HIS.",Itapuã/Ipitanga,Unidade,9844,Habitação e Inclusão Social,800000
Habitações Regularizadas,DESENVOLVIMENTO URBANO E ECONÔMICO,232074000,Casa Legal - Regularização Fundiária,"Prover soluções para a questão habitacional em Salvador, assegurando condições dignas de moradia aos soteropolitanos, posicionando, inclusive, o Centro Histórico como território atrativo para a moradia. Para alcançar esse objetivo, pretende-se ampliar a oferta de moradia para a população de baixa renda, promover melhorias habitacionais, principalmente nas regiões mais carentes, investir em ações de regularização fundiária, assegurando a cidadania, impulsionando a Habitação de Interesse Social - HIS.",Inter-Regionais,Unidade,30000,Habitação e Inclusão Social,800000
Habitação Construída,DESENVOLVIMENTO URBANO E ECONÔMICO,232074000,Implantação de Unidades Habitacionais,"Prover soluções para a questão habitacional em Salvador, assegurando condições dignas de moradia aos soteropolitanos, posicionando, inclusive, o Centro Histórico como território atrativo para a moradia. Para alcançar esse objetivo, pretende-se ampliar a oferta de moradia para a população de baixa renda, promover melhorias habitacionais, principalmente nas regiões mais carentes, investir em ações de regularização fundiária, assegurando a cidadania, impulsionando a Habitação de Interesse Social - HIS.",Subúrbio/Ilhas,Unidade,129,Habitação e Inclusão Social,800000
Habitação Construída,DESENVOLVIMENTO URBANO E ECONÔMICO,232074000,Implantação de Unidades Habitacionais,"Prover soluções para a questão habitacional em Salvador, assegurando condições dignas de moradia aos soteropolitanos, posicionando, inclusive, o Centro Histórico como território atrativo para a moradia. Para alcançar esse objetivo, pretende-se ampliar a oferta de moradia para a população de baixa renda, promover melhorias habitacionais, principalmente nas regiões mais carentes, investir em ações de regularização fundiária, assegurando a cidadania, impulsionando a Habitação de Interesse Social - HIS.",Pau da Lima,Unidade,255,Habitação e Inclusão Social,800000
Imóveis Indenizados e Desapropriados,DESENVOLVIMENTO URBANO E ECONÔMICO,232074000,Indenização e Desapropriação de Imóveis,"Prover soluções para a questão habitacional em Salvador, assegurando condições dignas de moradia aos soteropolitanos, posicionando, inclusive, o Centro Histórico como território atrativo para a moradia. Para alcançar esse objetivo, pretende-se ampliar a oferta de moradia para a população de baixa renda, promover melhorias habitacionais, principalmente nas regiões mais carentes, investir em ações de regularização fundiária, assegurando a cidadania, impulsionando a Habitação de Interesse Social - HIS.",Inter-Regionais,Unidade,80,Habitação e Inclusão Social,800000
Projeto Elaborado,DESENVOLVIMENTO URBANO E ECONÔMICO,232074000,Elaboração de Projetos de Infraestrutura Urbana e Habitação,"Prover soluções para a questão habitacional em Salvador, assegurando condições dignas de moradia aos soteropolitanos, posicionando, inclusive, o Centro Histórico como território atrativo para a moradia. Para alcançar esse objetivo, pretende-se ampliar a oferta de moradia para a população de baixa renda, promover melhorias habitacionais, principalmente nas regiões mais carentes, investir em ações de regularização fundiária, assegurando a cidadania, impulsionando a Habitação de Interesse Social - HIS.",Inter-Regionais,Unidade,8,Habitação e Inclusão Social,800000
Fundo Municipal Implantado,DESENVOLVIMENTO URBANO E ECONÔMICO,232074000,Implantação do Fundo de Habitação,"Prover soluções para a questão habitacional em Salvador, assegurando condições dignas de moradia aos soteropolitanos, posicionando, inclusive, o Centro Histórico como território atrativo para a moradia. Para alcançar esse objetivo, pretende-se ampliar a oferta de moradia para a população de baixa renda, promover melhorias habitacionais, principalmente nas regiões mais carentes, investir em ações de regularização fundiária, assegurando a cidadania, impulsionando a Habitação de Interesse Social - HIS.",Inter-Regionais,Percentual,100,Habitação e Inclusão Social,800000
Projeto Elaborado,DESENVOLVIMENTO URBANO E ECONÔMICO,1366022000,Elaboração de Projetos Urbanísticos da Orla e de Áreas Estratégicas de Salvador,"Valorizar o espaço urbano, revitalizando os espaços públicos e estimulando o seu uso pela população, empregando o planejamento como instrumento de desenvolvimento urbano e elaborando diretrizes que permitam o crescimento harmonioso da capital. Alcançar esse objetivo vai envolver, dentre outras intervenções, a requalificação da orla costeira e a recuperação dos seus equipamentos na orla atlântica, na Baía de Todos os Santos e nas ilhas de Salvador, a ampliação e requalificação de espaços públicos, vias e monumentos do Centro Histórico, a regulamentação da área de proteção cultural e paisagística do Centro Antigo, a infraestrutura urbana, o saneamento básico e a requalificação de áreas urbanas.",Inter-Regionais,Unidade,4,Espaço Urbano Estruturado e Sustentável,0
Projeto Elaborado,DESENVOLVIMENTO URBANO E ECONÔMICO,1366022000,Elaboração de Projetos Urbanísticos da Orla e de Áreas Estratégicas de Salvador,"Valorizar o espaço urbano, revitalizando os espaços públicos e estimulando o seu uso pela população, empregando o planejamento como instrumento de desenvolvimento urbano e elaborando diretrizes que permitam o crescimento harmonioso da capital. Alcançar esse objetivo vai envolver, dentre outras intervenções, a requalificação da orla costeira e a recuperação dos seus equipamentos na orla atlântica, na Baía de Todos os Santos e nas ilhas de Salvador, a ampliação e requalificação de espaços públicos, vias e monumentos do Centro Histórico, a regulamentação da área de proteção cultural e paisagística do Centro Antigo, a infraestrutura urbana, o saneamento básico e a requalificação de áreas urbanas.",Barra/Pituba,Unidade,1,Espaço Urbano Estruturado e Sustentável,0
Projeto Elaborado,DESENVOLVIMENTO URBANO E ECONÔMICO,1366022000,Elaboração de Projetos Urbanísticos da Orla e de Áreas Estratégicas de Salvador,"Valorizar o espaço urbano, revitalizando os espaços públicos e estimulando o seu uso pela população, empregando o planejamento como instrumento de desenvolvimento urbano e elaborando diretrizes que permitam o crescimento harmonioso da capital. Alcançar esse objetivo vai envolver, dentre outras intervenções, a requalificação da orla costeira e a recuperação dos seus equipamentos na orla atlântica, na Baía de Todos os Santos e nas ilhas de Salvador, a ampliação e requalificação de espaços públicos, vias e monumentos do Centro Histórico, a regulamentação da área de proteção cultural e paisagística do Centro Antigo, a infraestrutura urbana, o saneamento básico e a requalificação de áreas urbanas.",Itapuã/Ipitanga,Unidade,6,Espaço Urbano Estruturado e Sustentável,0
Projeto Elaborado,DESENVOLVIMENTO URBANO E ECONÔMICO,1366022000,Elaboração de Projetos Urbanísticos da Orla e de Áreas Estratégicas de Salvador,"Valorizar o espaço urbano, revitalizando os espaços públicos e estimulando o seu uso pela população, empregando o planejamento como instrumento de desenvolvimento urbano e elaborando diretrizes que permitam o crescimento harmonioso da capital. Alcançar esse objetivo vai envolver, dentre outras intervenções, a requalificação da orla costeira e a recuperação dos seus equipamentos na orla atlântica, na Baía de Todos os Santos e nas ilhas de Salvador, a ampliação e requalificação de espaços públicos, vias e monumentos do Centro Histórico, a regulamentação da área de proteção cultural e paisagística do Centro Antigo, a infraestrutura urbana, o saneamento básico e a requalificação de áreas urbanas.",Subúrbio/Ilhas,Unidade,1,Espaço Urbano Estruturado e Sustentável,0
Projeto Elaborado,DESENVOLVIMENTO URBANO E ECONÔMICO,1366022000,Elaboração de Projetos Urbanísticos da Orla e de Áreas Estratégicas de Salvador,"Valorizar o espaço urbano, revitalizando os espaços públicos e estimulando o seu uso pela população, empregando o planejamento como instrumento de desenvolvimento urbano e elaborando diretrizes que permitam o crescimento harmonioso da capital. Alcançar esse objetivo vai envolver, dentre outras intervenções, a requalificação da orla costeira e a recuperação dos seus equipamentos na orla atlântica, na Baía de Todos os Santos e nas ilhas de Salvador, a ampliação e requalificação de espaços públicos, vias e monumentos do Centro Histórico, a regulamentação da área de proteção cultural e paisagística do Centro Antigo, a infraestrutura urbana, o saneamento básico e a requalificação de áreas urbanas.",Centro/Brotas,Unidade,9,Espaço Urbano Estruturado e Sustentável,0
Projeto Elaborado,DESENVOLVIMENTO URBANO E ECONÔMICO,1366022000,Elaboração de Projetos Urbanísticos e Arquitetônicos,"Valorizar o espaço urbano, revitalizando os espaços públicos e estimulando o seu uso pela população, empregando o planejamento como instrumento de desenvolvimento urbano e elaborando diretrizes que permitam o crescimento harmonioso da capital. Alcançar esse objetivo vai envolver, dentre outras intervenções, a requalificação da orla costeira e a recuperação dos seus equipamentos na orla atlântica, na Baía de Todos os Santos e nas ilhas de Salvador, a ampliação e requalificação de espaços públicos, vias e monumentos do Centro Histórico, a regulamentação da área de proteção cultural e paisagística do Centro Antigo, a infraestrutura urbana, o saneamento básico e a requalificação de áreas urbanas.",Subúrbio/Ilhas,Unidade,1,Espaço Urbano Estruturado e Sustentável,0
Projeto Elaborado,DESENVOLVIMENTO URBANO E ECONÔMICO,1366022000,Elaboração de Projetos Urbanísticos e Arquitetônicos,"Valorizar o espaço urbano, revitalizando os espaços públicos e estimulando o seu uso pela população, empregando o planejamento como instrumento de desenvolvimento urbano e elaborando diretrizes que permitam o crescimento harmonioso da capital. Alcançar esse objetivo vai envolver, dentre outras intervenções, a requalificação da orla costeira e a recuperação dos seus equipamentos na orla atlântica, na Baía de Todos os Santos e nas ilhas de Salvador, a ampliação e requalificação de espaços públicos, vias e monumentos do Centro Histórico, a regulamentação da área de proteção cultural e paisagística do Centro Antigo, a infraestrutura urbana, o saneamento básico e a requalificação de áreas urbanas.",Cidade Baixa,Unidade,2,Espaço Urbano Estruturado e Sustentável,0
Projeto Elaborado,DESENVOLVIMENTO URBANO E ECONÔMICO,1366022000,Elaboração de Projetos Urbanísticos e Arquitetônicos,"Valorizar o espaço urbano, revitalizando os espaços públicos e estimulando o seu uso pela população, empregando o planejamento como instrumento de desenvolvimento urbano e elaborando diretrizes que permitam o crescimento harmonioso da capital. Alcançar esse objetivo vai envolver, dentre outras intervenções, a requalificação da orla costeira e a recuperação dos seus equipamentos na orla atlântica, na Baía de Todos os Santos e nas ilhas de Salvador, a ampliação e requalificação de espaços públicos, vias e monumentos do Centro Histórico, a regulamentação da área de proteção cultural e paisagística do Centro Antigo, a infraestrutura urbana, o saneamento básico e a requalificação de áreas urbanas.",Centro/Brotas,Unidade,5,Espaço Urbano Estruturado e Sustentável,0
Projeto Elaborado,DESENVOLVIMENTO URBANO E ECONÔMICO,1366022000,Elaboração de Projetos Urbanísticos e Arquitetônicos,"Valorizar o espaço urbano, revitalizando os espaços públicos e estimulando o seu uso pela população, empregando o planejamento como instrumento de desenvolvimento urbano e elaborando diretrizes que permitam o crescimento harmonioso da capital. Alcançar esse objetivo vai envolver, dentre outras intervenções, a requalificação da orla costeira e a recuperação dos seus equipamentos na orla atlântica, na Baía de Todos os Santos e nas ilhas de Salvador, a ampliação e requalificação de espaços públicos, vias e monumentos do Centro Histórico, a regulamentação da área de proteção cultural e paisagística do Centro Antigo, a infraestrutura urbana, o saneamento básico e a requalificação de áreas urbanas.",Itapuã/Ipitanga,Unidade,2,Espaço Urbano Estruturado e Sustentável,0
Projeto Elaborado,DESENVOLVIMENTO URBANO E ECONÔMICO,1366022000,Elaboração de Projetos Urbanísticos e Arquitetônicos,"Valorizar o espaço urbano, revitalizando os espaços públicos e estimulando o seu uso pela população, empregando o planejamento como instrumento de desenvolvimento urbano e elaborando diretrizes que permitam o crescimento harmonioso da capital. Alcançar esse objetivo vai envolver, dentre outras intervenções, a requalificação da orla costeira e a recuperação dos seus equipamentos na orla atlântica, na Baía de Todos os Santos e nas ilhas de Salvador, a ampliação e requalificação de espaços públicos, vias e monumentos do Centro Histórico, a regulamentação da área de proteção cultural e paisagística do Centro Antigo, a infraestrutura urbana, o saneamento básico e a requalificação de áreas urbanas.",Cabula/Tancredo Neves,Unidade,1,Espaço Urbano Estruturado e Sustentável,0
Projeto Elaborado,DESENVOLVIMENTO URBANO E ECONÔMICO,1366022000,Elaboração de Projetos Urbanísticos e Arquitetônicos,"Valorizar o espaço urbano, revitalizando os espaços públicos e estimulando o seu uso pela população, empregando o planejamento como instrumento de desenvolvimento urbano e elaborando diretrizes que permitam o crescimento harmonioso da capital. Alcançar esse objetivo vai envolver, dentre outras intervenções, a requalificação da orla costeira e a recuperação dos seus equipamentos na orla atlântica, na Baía de Todos os Santos e nas ilhas de Salvador, a ampliação e requalificação de espaços públicos, vias e monumentos do Centro Histórico, a regulamentação da área de proteção cultural e paisagística do Centro Antigo, a infraestrutura urbana, o saneamento básico e a requalificação de áreas urbanas.",Pau da Lima,Unidade,1,Espaço Urbano Estruturado e Sustentável,0
Projeto Elaborado,DESENVOLVIMENTO URBANO E ECONÔMICO,1366022000,Elaboração de Projetos Urbanísticos e Arquitetônicos,"Valorizar o espaço urbano, revitalizando os espaços públicos e estimulando o seu uso pela população, empregando o planejamento como instrumento de desenvolvimento urbano e elaborando diretrizes que permitam o crescimento harmonioso da capital. Alcançar esse objetivo vai envolver, dentre outras intervenções, a requalificação da orla costeira e a recuperação dos seus equipamentos na orla atlântica, na Baía de Todos os Santos e nas ilhas de Salvador, a ampliação e requalificação de espaços públicos, vias e monumentos do Centro Histórico, a regulamentação da área de proteção cultural e paisagística do Centro Antigo, a infraestrutura urbana, o saneamento básico e a requalificação de áreas urbanas.",Inter-Regionais,Unidade,38,Espaço Urbano Estruturado e Sustentável,0
Projeto Elaborado,DESENVOLVIMENTO URBANO E ECONÔMICO,1366022000,Elaboração de Projetos Urbanísticos e Arquitetônicos,"Valorizar o espaço urbano, revitalizando os espaços públicos e estimulando o seu uso pela população, empregando o planejamento como instrumento de desenvolvimento urbano e elaborando diretrizes que permitam o crescimento harmonioso da capital. Alcançar esse objetivo vai envolver, dentre outras intervenções, a requalificação da orla costeira e a recuperação dos seus equipamentos na orla atlântica, na Baía de Todos os Santos e nas ilhas de Salvador, a ampliação e requalificação de espaços públicos, vias e monumentos do Centro Histórico, a regulamentação da área de proteção cultural e paisagística do Centro Antigo, a infraestrutura urbana, o saneamento básico e a requalificação de áreas urbanas.",Liberdade/São Caetano,Unidade,4,Espaço Urbano Estruturado e Sustentável,0
Projeto Elaborado,DESENVOLVIMENTO URBANO E ECONÔMICO,1366022000,Elaboração de Estudos e Planos de Desenvolvimento Urbano,"Valorizar o espaço urbano, revitalizando os espaços públicos e estimulando o seu uso pela população, empregando o planejamento como instrumento de desenvolvimento urbano e elaborando diretrizes que permitam o crescimento harmonioso da capital. Alcançar esse objetivo vai envolver, dentre outras intervenções, a requalificação da orla costeira e a recuperação dos seus equipamentos na orla atlântica, na Baía de Todos os Santos e nas ilhas de Salvador, a ampliação e requalificação de espaços públicos, vias e monumentos do Centro Histórico, a regulamentação da área de proteção cultural e paisagística do Centro Antigo, a infraestrutura urbana, o saneamento básico e a requalificação de áreas urbanas.",Subúrbio/Ilhas,Unidade,1,Espaço Urbano Estruturado e Sustentável,0
Projeto Elaborado,DESENVOLVIMENTO URBANO E ECONÔMICO,1366022000,Elaboração de Estudos e Planos de Desenvolvimento Urbano,"Valorizar o espaço urbano, revitalizando os espaços públicos e estimulando o seu uso pela população, empregando o planejamento como instrumento de desenvolvimento urbano e elaborando diretrizes que permitam o crescimento harmonioso da capital. Alcançar esse objetivo vai envolver, dentre outras intervenções, a requalificação da orla costeira e a recuperação dos seus equipamentos na orla atlântica, na Baía de Todos os Santos e nas ilhas de Salvador, a ampliação e requalificação de espaços públicos, vias e monumentos do Centro Histórico, a regulamentação da área de proteção cultural e paisagística do Centro Antigo, a infraestrutura urbana, o saneamento básico e a requalificação de áreas urbanas.",Pau da Lima,Unidade,2,Espaço Urbano Estruturado e Sustentável,0
Projeto Elaborado,DESENVOLVIMENTO URBANO E ECONÔMICO,1366022000,Elaboração de Estudos e Planos de Desenvolvimento Urbano,"Valorizar o espaço urbano, revitalizando os espaços públicos e estimulando o seu uso pela população, empregando o planejamento como instrumento de desenvolvimento urbano e elaborando diretrizes que permitam o crescimento harmonioso da capital. Alcançar esse objetivo vai envolver, dentre outras intervenções, a requalificação da orla costeira e a recuperação dos seus equipamentos na orla atlântica, na Baía de Todos os Santos e nas ilhas de Salvador, a ampliação e requalificação de espaços públicos, vias e monumentos do Centro Histórico, a regulamentação da área de proteção cultural e paisagística do Centro Antigo, a infraestrutura urbana, o saneamento básico e a requalificação de áreas urbanas.",Inter-Regionais,Unidade,2,Espaço Urbano Estruturado e Sustentável,0
Projeto Elaborado,DESENVOLVIMENTO URBANO E ECONÔMICO,1366022000,Elaboração de Estudos e Planos de Desenvolvimento Urbano,"Valorizar o espaço urbano, revitalizando os espaços públicos e estimulando o seu uso pela população, empregando o planejamento como instrumento de desenvolvimento urbano e elaborando diretrizes que permitam o crescimento harmonioso da capital. Alcançar esse objetivo vai envolver, dentre outras intervenções, a requalificação da orla costeira e a recuperação dos seus equipamentos na orla atlântica, na Baía de Todos os Santos e nas ilhas de Salvador, a ampliação e requalificação de espaços públicos, vias e monumentos do Centro Histórico, a regulamentação da área de proteção cultural e paisagística do Centro Antigo, a infraestrutura urbana, o saneamento básico e a requalificação de áreas urbanas.",Liberdade/São Caetano,Unidade,1,Espaço Urbano Estruturado e Sustentável,0
Projeto Elaborado,DESENVOLVIMENTO URBANO E ECONÔMICO,1366022000,Elaboração de Estudos e Planos de Desenvolvimento Urbano,"Valorizar o espaço urbano, revitalizando os espaços públicos e estimulando o seu uso pela população, empregando o planejamento como instrumento de desenvolvimento urbano e elaborando diretrizes que permitam o crescimento harmonioso da capital. Alcançar esse objetivo vai envolver, dentre outras intervenções, a requalificação da orla costeira e a recuperação dos seus equipamentos na orla atlântica, na Baía de Todos os Santos e nas ilhas de Salvador, a ampliação e requalificação de espaços públicos, vias e monumentos do Centro Histórico, a regulamentação da área de proteção cultural e paisagística do Centro Antigo, a infraestrutura urbana, o saneamento básico e a requalificação de áreas urbanas.",Itapuã/Ipitanga,Unidade,3,Espaço Urbano Estruturado e Sustentável,0
Projeto Elaborado,DESENVOLVIMENTO URBANO E ECONÔMICO,1366022000,Elaboração de Estudos e Planos de Desenvolvimento Urbano,"Valorizar o espaço urbano, revitalizando os espaços públicos e estimulando o seu uso pela população, empregando o planejamento como instrumento de desenvolvimento urbano e elaborando diretrizes que permitam o crescimento harmonioso da capital. Alcançar esse objetivo vai envolver, dentre outras intervenções, a requalificação da orla costeira e a recuperação dos seus equipamentos na orla atlântica, na Baía de Todos os Santos e nas ilhas de Salvador, a ampliação e requalificação de espaços públicos, vias e monumentos do Centro Histórico, a regulamentação da área de proteção cultural e paisagística do Centro Antigo, a infraestrutura urbana, o saneamento básico e a requalificação de áreas urbanas.",Centro/Brotas,Unidade,5,Espaço Urbano Estruturado e Sustentável,0
Projeto Elaborado,DESENVOLVIMENTO URBANO E ECONÔMICO,1366022000,Elaboração de Estudos e Planos de Desenvolvimento Urbano,"Valorizar o espaço urbano, revitalizando os espaços públicos e estimulando o seu uso pela população, empregando o planejamento como instrumento de desenvolvimento urbano e elaborando diretrizes que permitam o crescimento harmonioso da capital. Alcançar esse objetivo vai envolver, dentre outras intervenções, a requalificação da orla costeira e a recuperação dos seus equipamentos na orla atlântica, na Baía de Todos os Santos e nas ilhas de Salvador, a ampliação e requalificação de espaços públicos, vias e monumentos do Centro Histórico, a regulamentação da área de proteção cultural e paisagística do Centro Antigo, a infraestrutura urbana, o saneamento básico e a requalificação de áreas urbanas.",Cabula/Tancredo Neves,Unidade,1,Espaço Urbano Estruturado e Sustentável,0
